entity_name,population,habitat,conservation initiatives,article_url
Spix's macaw,,,". 227: 9–18. Bibcode:2018BCons.227....9B. doi:10.1016/j.biocon.2018.08.014. S2CID 91481736. ^ ""Spix's Macaw heads list of first bird extinctions confirmed this decade"". BirdLife International. 5 September 2018. ^ Juniper, p. 31,81 ^ Juniper, p. 161 ^ Juniper, p. 164–65 ^ Juniper, pp. 169–71 ^ ""Loro Parque Fundación in Brazil to save the world's rarest parrot"" (PDF). Cyanopsitta. No. 100. 2010. p. 18. Archived from the original (PDF) on 18 June 2020. Retrieved 22 September 2019. ^ ""IBAMA dissolves the Spix's Macaw Recovery Committee"" (2002). Cyanopsitta 66:18–19 ^ Szotek, Mark (10 September 2009). ""Sheikh goes from collector to conservationist in effort to save the world's rarest parrot"". Mongabay. ^ ""Spix's Macaw Project Update"". Bluemacaws.org. Retrieved 1 December 2021. ^ Jump up to: a b c d e f g ""Al Wabra Wildlife Preservation"". Awwp.alwabra.com. Retrieved 1 December 2021. ^ ""Parrot Who Was Among Last of Its Kind, Said to Have Inspired 'Rio,' Dies"". Nationalgeographic.com. 29 June 2014. Archived from the original on 21 April 2021. Retrieved 1 December 2021. ^ Christy, Bryan (2008). The Lizard King. Twelve. p. 111. ISBN 978-0-446-58095-3. ^ De Leebeeck, Esther (2022). ""In het wild uitgestorven blauwe papegaai vliegt weer rond in Brazilië, met dank aan Pairi Daiza"". Het Laatste Nieuws. ^ Vastag, Brian (4 July 2011). ""Qatari sheik takes endangered bird species under his wing"". The Washington Post. Retrieved 16 November 2012. ^ Robinson, Emily Lott (2012). ""Revisiting Rio Star Presley: Is there hope for the Spix's Macaw?"" (PDF). parrots.org. ^ ""Spix's Macaw Project Update"". www.bluemacaws.org. ^ ""Jurong Bird Park now home to world's rarest blue macaws"". CNA. Archived from the original on 9 August 2020. Retrieved 7 May 2019. ^ Juniper, pp. 213–214 ^ Kepp, Michael (10 July 2015). ""Spix macaw"" (PDF). EcoAméricas: 10. ^ Jump up to: a b Watson, Ryan (July 2007). ""Managing the World's Largest Population of Spix's Macaws"". 33rd Annual Convention of the American Federation of Aviculture (AFA), Los Angeles. ^ ""Blue for a Boy?"". Loro Parque video documentary. BBC. ^ ""Developing a New Insemination Technique"". Loro Parque Blog. Loro Parque. 18 April 2012. ^ Lierz, Michael; Reinschmidt, Matthias; Müller, Heiner; Wink, Michael; Neumann, Daniel (2013). ""A novel method for semen collection and artificial insemination in large parrots (Psittaciformes)"". Scientific Reports. 3 2066. Bibcode:2013NatSR...3.2066L. doi:10.1038/srep02066. PMC 3691562. PMID 23797622. ^ James, Bonnie (22 May 2013). ""Qatar efforts give hope to rare parrot species"". Gulf Times. ^ ""Spix's macaw returns to skies of Brazil's caatinga after 20+ years"". Agência Brasil. 5 June 2022. Retrieved 16 June 2022. ^ Jump up to: a b c Deutsche Welle (7 August 2018). ""O projeto para salvar a ararinha-azul da extinção"". DW.COM (in Portuguese). Retrieved 23 August 2018. ^ ""Dozens of last blue macaws to be reintroduced to Brazil"". phys.org. June 2018. ^ Jump up to: a b ""Filhotes de ararinhas-azuis nascem no Brasil após 20 anos de extinção"". CNN Brazil (in Portuguese). 18 July 2021. ^ ""Filhotes de ararinhas-azuis nascem na Bahia após 20 anos de extinção no país"". O Globo (in Portuguese). 18 July 2021. ^ ""Instagram"". ^ ""Spix's Macaw breeds in wild for first time in 37 years"". BirdGuides. 16 November 2023. Retrieved 19 November 2023. ^ Juniper, Tony (2004). Spix's Macaw: The Race to Save the World's Rarest Bird. Simon and Schuster. p. 55. ISBN 978-0-7434-7551-8. ^ Juniper, pp. 25–26 ^ Dutton, F.G. (September 1900). ""The Feeding of Parrots"". Avicultural Magazine. VI (71): 240–5. ^ Juniper, p. 30 ^ Bates, Busenbark (1978). Parrots and Related Birds. TFH Publications Inc. ISBN 0-87666-967-4. ^ Vedantam, Shankar (24 December 2002). ""A Rare Bird Flies Home For Good"" (PDF). The Washington Post. ^ ""The Real-Life Parrot That Inspired Rio Films Dies"". uk.movies.yahoo.com. 30 June 2014. Retrieved 27 October 2025. ^ Jump up to: a b Hurrell, Shaun (24 June 2016). ""Spix's Macaw reappears in Brazil"". BirdLife International Americas. Archived from the original on 25 June 2016. ^ ""Born to be Wild"". Noah's Ark. 1997. ^ ""Gorgo"". Mystery Science Theater 3000. 1998. ^ director Carlos Saldanha (2011). Rio (motion picture). Brazil: Blue Sky Studios. ^ director Carlos Saldanha (2014). Rio 2 (motion picture). Brazil: Blue Sky Studios. ^ Law and Order SVU Episode ""Wildlife"". Original air date 18 November 2008 ^ AFP (27 November 2025). ""Brazil's Spix's macaws threatened with extinction by deadly circovirus"". RTBF. Retrieved 28 November 2025.",https://en.wikipedia.org/wiki/Spix%27s_macaw
Blue-throated macaw,,,"The blue-throated macaw has a very small population and is on the verge of extinction in the wild. It is listed on the IUCN Red List as critically endangered.[1] It is also listed in Appendix I by CITES. Trapping is illegal as blue-throated macaws have been protected by the national legislation of Bolivia.[10] According to locals the wild population of the blue-throated macaw in the 1980s was thought to number 500-1000 individuals. Although trapping ceased later in the 1990s, the wild population remains low, with previous estimates of between 110 and 130 individuals,[13] that more recently have been increased to about 350–400 after surveys by Armonia Association and the Loro Parque Fundacion found additional birds.[14] The World Parrot Trust has many volunteers and employees working to monitor the nests to protect the chicks from predation. Chicks are also examined periodically to ensure that they are healthy and receiving adequate food from their parents. If necessary, the chick is supplemented with formula. Nest boxes have been built, current nest sites improved, and support from the local landowners has been established.[10] In 2008, American Bird Conservancy partnered with the World Land Trust-US, Loro Parque Fundacion, and Assiociacion Armonia to create the blue-throated macaw Reserve. In 2010, the reserve was expanded by 2,800 acres (formerly Juvena Ranch) and is now 11,500 acres.[12] Armonia has also created a program in recent years to replace the real feathers in traditional indigenous 'machetero' headdresses with artificial feathers created from hand-painted palm fronds. The feathers for the headdresses were previously culled from several species of macaw, including the Blue-throated, and as many as 10 birds were killed to make one head-piece.[15]",https://en.wikipedia.org/wiki/Blue-throated_macaw
Lear's macaw,,,". Archived from the original on 2014-06-10. Retrieved 2016-04-19. ^ Juniper, Tony (16 November 2004). Spix's Macaw: The Race to Save the World's Rarest Bird. Simon and Schuster. p. 55. ISBN 9780743475518. ^ Jump up to: a b ""LEAR'S MACAW (Anodorhynchus leari)"". World Parrot Trust. Retrieved 13 October 2021. ^ ""AnAge entry for Anodorhynchus leari"". Animal Ageing and Longevity Database. Retrieved 15 October 2021.",https://en.wikipedia.org/wiki/Lear%27s_macaw
