entity_name,population,habitat,conservation initiatives,article_url
Spix's macaw,,"Various accounts relate that the birds were more common in Pernambuco than in Bahia through the 1960s but not later.[23] Spix's macaw was most recently (1974–1987) known in the Río São Francisco valley, in northeastern Brazil, principally in the basins on the south side of the river in the State of Bahia. In 1974, ornithologist Helmut Sick, based on information from traders and trappers, extended the possible range of the Spix's macaw to embrace the northeastern part of the state of Goias and the southern part of the state of Maranhão.[24] Other ornithologists reporting the bird in various parts of the state of Piauí further extended the range to a vast area of the dry interior of northeast Brazil.[20] An 1878 painting of an adult by Joseph Smit Study of the lone bird discovered at Melância creek in 1990 revealed substantive information about its habitat. It had been previously assumed that the Spix's macaw had a vast range in the interior of Brazil embracing several different habitat types, including buriti palm swamps, cerrado, and dry Caatinga. But the evidence collected in Melância Creek indicated that the Spix's macaw was a specially adapted inhabitant of the disappearing woodland galleries.[25] Ornithologist Tony Silva mentions that ""where Caraibeiras have been felled, as in the Pernambuco side of the São Francisco River, the species has disappeared"".[26] Much remains uncertain about the extent of the bird's original range, because most of its woodland habitat was cleared before naturalists observed either the birds or the Caraiba nesting sites. The historical range is now believed to have encompassed portions of the states of Bahia and Pernambuco in a 50 km (31 mi) wide corridor along a 150–200 km (93–124 mi) stretch of the Rio São Francisco between Juazeiro (or possibly Remanso) and Abaré.[23] Previous observations of the birds from further west are very difficult to explain but conceivably stem from either escaped captive birds or more likely the misidentification of another species such as red-bellied macaw (Orthopsittaca manilatus).[20] The Caatinga vegetation of northeastern Bahia (which hosts the Spix habitat) is stunted trees, thorny shrubs and cacti, dominated by plants of the family Euphorbiaceae. This macaw lived in the hottest and driest part of the ""Caatinga"" within Caraiba, or Caribbean trumpet tree (Tabebuia caraiba) woodland galleries. The Caraibeira constitutes a microclimate within the Caatinga. The existing galleries are fringes of unique woodland extending a maximum of 18 m (59 ft) to either side along a series of seasonal waterways at least 8 m wide in the Rio São Francisco drainage basin.[20] All T. caraiba woodland was recorded in the middle and lower levels of the creek system where fine alluvial deposits were present. The character of the galleries is tall (8m) evenly spaced Caraibeira trees, ten per hundred meters, interspersed with low scrub and desert cacti. Large mature trees of this species (and apparently no other) provided the nesting hollows of Spix's macaws, as well as shelter and their seedpods, food for the species.[20] Notable among the seasonal waterways are Riacho Melância watershed 30 km south of Curaçá, where the last known wild Spix's macaw nest was located, adjacent Riacho Barra Grande, and Riacho da Vargem ~100 km to the north near Abaré all in the State of Bahia south of Rio São Francisco. In 1990, these were all that remained of what was once believed to be a vast filigree of creekside Caraibeira woodland extending 50 km into the Caatinga on either side of the Rio São Francisco along a significant stretch of its middle reaches.[27] There is also one confirmed site, since cleared, along Brígida Creek on the north shore of Rio São Francisco in Pernambuco.[28]",". 227: 9–18. Bibcode:2018BCons.227....9B. doi:10.1016/j.biocon.2018.08.014. S2CID 91481736. ^ ""Spix's Macaw heads list of first bird extinctions confirmed this decade"". BirdLife International. 5 September 2018. ^ Juniper, p. 31,81 ^ Juniper, p. 161 ^ Juniper, p. 164–65 ^ Juniper, pp. 169–71 ^ ""Loro Parque Fundación in Brazil to save the world's rarest parrot"" (PDF). Cyanopsitta. No. 100. 2010. p. 18. Archived from the original (PDF) on 18 June 2020. Retrieved 22 September 2019. ^ ""IBAMA dissolves the Spix's Macaw Recovery Committee"" (2002). Cyanopsitta 66:18–19 ^ Szotek, Mark (10 September 2009). ""Sheikh goes from collector to conservationist in effort to save the world's rarest parrot"". Mongabay. ^ ""Spix's Macaw Project Update"". Bluemacaws.org. Retrieved 1 December 2021. ^ Jump up to: a b c d e f g ""Al Wabra Wildlife Preservation"". Awwp.alwabra.com. Retrieved 1 December 2021. ^ ""Parrot Who Was Among Last of Its Kind, Said to Have Inspired 'Rio,' Dies"". Nationalgeographic.com. 29 June 2014. Archived from the original on 21 April 2021. Retrieved 1 December 2021. ^ Christy, Bryan (2008). The Lizard King. Twelve. p. 111. ISBN 978-0-446-58095-3. ^ De Leebeeck, Esther (2022). ""In het wild uitgestorven blauwe papegaai vliegt weer rond in Brazilië, met dank aan Pairi Daiza"". Het Laatste Nieuws. ^ Vastag, Brian (4 July 2011). ""Qatari sheik takes endangered bird species under his wing"". The Washington Post. Retrieved 16 November 2012. ^ Robinson, Emily Lott (2012). ""Revisiting Rio Star Presley: Is there hope for the Spix's Macaw?"" (PDF). parrots.org. ^ ""Spix's Macaw Project Update"". www.bluemacaws.org. ^ ""Jurong Bird Park now home to world's rarest blue macaws"". CNA. Archived from the original on 9 August 2020. Retrieved 7 May 2019. ^ Juniper, pp. 213–214 ^ Kepp, Michael (10 July 2015). ""Spix macaw"" (PDF). EcoAméricas: 10. ^ Jump up to: a b Watson, Ryan (July 2007). ""Managing the World's Largest Population of Spix's Macaws"". 33rd Annual Convention of the American Federation of Aviculture (AFA), Los Angeles. ^ ""Blue for a Boy?"". Loro Parque video documentary. BBC. ^ ""Developing a New Insemination Technique"". Loro Parque Blog. Loro Parque. 18 April 2012. ^ Lierz, Michael; Reinschmidt, Matthias; Müller, Heiner; Wink, Michael; Neumann, Daniel (2013). ""A novel method for semen collection and artificial insemination in large parrots (Psittaciformes)"". Scientific Reports. 3 2066. Bibcode:2013NatSR...3.2066L. doi:10.1038/srep02066. PMC 3691562. PMID 23797622. ^ James, Bonnie (22 May 2013). ""Qatar efforts give hope to rare parrot species"". Gulf Times. ^ ""Spix's macaw returns to skies of Brazil's caatinga after 20+ years"". Agência Brasil. 5 June 2022. Retrieved 16 June 2022. ^ Jump up to: a b c Deutsche Welle (7 August 2018). ""O projeto para salvar a ararinha-azul da extinção"". DW.COM (in Portuguese). Retrieved 23 August 2018. ^ ""Dozens of last blue macaws to be reintroduced to Brazil"". phys.org. June 2018. ^ Jump up to: a b ""Filhotes de ararinhas-azuis nascem no Brasil após 20 anos de extinção"". CNN Brazil (in Portuguese). 18 July 2021. ^ ""Filhotes de ararinhas-azuis nascem na Bahia após 20 anos de extinção no país"". O Globo (in Portuguese). 18 July 2021. ^ ""Instagram"". ^ ""Spix's Macaw breeds in wild for first time in 37 years"". BirdGuides. 16 November 2023. Retrieved 19 November 2023. ^ Juniper, Tony (2004). Spix's Macaw: The Race to Save the World's Rarest Bird. Simon and Schuster. p. 55. ISBN 978-0-7434-7551-8. ^ Juniper, pp. 25–26 ^ Dutton, F.G. (September 1900). ""The Feeding of Parrots"". Avicultural Magazine. VI (71): 240–5. ^ Juniper, p. 30 ^ Bates, Busenbark (1978). Parrots and Related Birds. TFH Publications Inc. ISBN 0-87666-967-4. ^ Vedantam, Shankar (24 December 2002). ""A Rare Bird Flies Home For Good"" (PDF). The Washington Post. ^ ""The Real-Life Parrot That Inspired Rio Films Dies"". uk.movies.yahoo.com. 30 June 2014. Retrieved 27 October 2025. ^ Jump up to: a b Hurrell, Shaun (24 June 2016). ""Spix's Macaw reappears in Brazil"". BirdLife International Americas. Archived from the original on 25 June 2016. ^ ""Born to be Wild"". Noah's Ark. 1997. ^ ""Gorgo"". Mystery Science Theater 3000. 1998. ^ director Carlos Saldanha (2011). Rio (motion picture). Brazil: Blue Sky Studios. ^ director Carlos Saldanha (2014). Rio 2 (motion picture). Brazil: Blue Sky Studios. ^ Law and Order SVU Episode ""Wildlife"". Original air date 18 November 2008 ^ AFP (27 November 2025). ""Brazil's Spix's macaws threatened with extinction by deadly circovirus"". RTBF. Retrieved 28 November 2025.",https://en.wikipedia.org/wiki/Spix%27s_macaw
Blue-throated macaw,,"The blue-throated macaw lives in the Llano de Moxos of the Beni Department of Bolivia, nesting in ""Islas"" (islands) of palm trees that dot the level plains. It is not a forest-dwelling bird. This species is one of the rarest in the world. There are two areas inhabited by two sub-populations of Ara glaucogularis: one is to the northwest of Trinidad (the capital city of Beni), and the other is to the south of Trinidad.[10] This complex landscape consists of grasslands, marshes, forest islands, and corridors of forests along waterways.[12] They occur most often between the elevations of 200 and 300 m.[10]","The blue-throated macaw has a very small population and is on the verge of extinction in the wild. It is listed on the IUCN Red List as critically endangered.[1] It is also listed in Appendix I by CITES. Trapping is illegal as blue-throated macaws have been protected by the national legislation of Bolivia.[10] According to locals the wild population of the blue-throated macaw in the 1980s was thought to number 500-1000 individuals. Although trapping ceased later in the 1990s, the wild population remains low, with previous estimates of between 110 and 130 individuals,[13] that more recently have been increased to about 350–400 after surveys by Armonia Association and the Loro Parque Fundacion found additional birds.[14] The World Parrot Trust has many volunteers and employees working to monitor the nests to protect the chicks from predation. Chicks are also examined periodically to ensure that they are healthy and receiving adequate food from their parents. If necessary, the chick is supplemented with formula. Nest boxes have been built, current nest sites improved, and support from the local landowners has been established.[10] In 2008, American Bird Conservancy partnered with the World Land Trust-US, Loro Parque Fundacion, and Assiociacion Armonia to create the blue-throated macaw Reserve. In 2010, the reserve was expanded by 2,800 acres (formerly Juvena Ranch) and is now 11,500 acres.[12] Armonia has also created a program in recent years to replace the real feathers in traditional indigenous 'machetero' headdresses with artificial feathers created from hand-painted palm fronds. The feathers for the headdresses were previously culled from several species of macaw, including the Blue-throated, and as many as 10 birds were killed to make one head-piece.[15]",https://en.wikipedia.org/wiki/Blue-throated_macaw
Lear's macaw,,"Sandstone cliffs in Bahia, Brazil Nests in sandstone cliffs in Bahia, Brazil For a century and a half after it had been described, the species was only known from sporadic occurrences in the bird trade, and the whereabouts of the wild population was unknown.[10] A wild population was eventually discovered in 1978 by ornithologist Helmut Sick in Bahia in the interior northeast of Brazil. Until this discovery the birds were thought to be simply a variant form of the closely related hyacinth macaw.[4] Lear's macaw roosts on sandstone cliffs, which were formed by streams cutting through outcrops.[17] It is known from two colonies at locations known as Toca Velha and Serra Branca, south of the Raso da Catarina plateau in northeast Bahia. In 1995, a roosting site holding 22 birds was located at Sento Sé/Campo Formoso, 200 km (120 mi) to the west.[10] From these roosts, the macaws travel throughout the region (the municipalities of Campo Formoso, Canudos, Euclides da Cunha, Jeremoabo, Monte Santo, Novo Triunfo, Paulo Afonso, Santa Brígida and Sento Sé), relying on stands of licury palm to find much of their sustenance. This palm stand habitat is thought to have once stretched over 250,000 km2 (97,000 sq mi) in Brazil, but has been much reduced due to clearance for agriculture. Cattle grazing in the palm stands also appear to be damaging and killing the seedlings, thus posing a challenge for the recruitment of new mature palms -such stands were found to have very little young licury palms. In response to this, tens of thousands of palms were propagated and planted in fenced-off areas in the early 2000s.[10] Lear's macaw also requires pre-existing natural cavities found in the sandstone cliffs in which to nest. The availability of such cavities may eventually limit population growth,[17] and thus one group of conservationists advised that more cavities should be excavated artificially.[1]",". Archived from the original on 2014-06-10. Retrieved 2016-04-19. ^ Juniper, Tony (16 November 2004). Spix's Macaw: The Race to Save the World's Rarest Bird. Simon and Schuster. p. 55. ISBN 9780743475518. ^ Jump up to: a b ""LEAR'S MACAW (Anodorhynchus leari)"". World Parrot Trust. Retrieved 13 October 2021. ^ ""AnAge entry for Anodorhynchus leari"". Animal Ageing and Longevity Database. Retrieved 15 October 2021.",https://en.wikipedia.org/wiki/Lear%27s_macaw
